setting,seed,rep_index,model,n,p,sigma_a,sigma_e,beta_preset,alpha,k,true_k,lam,snr,algo_a,algo_b,mse_cocolasso_max,mse_reweighted_frobenius,pe_cocolasso_max,pe_reweighted_frobenius,time_cocolasso_max,time_reweighted_frobenius,mse_diff,pe_diff,time_diff,speedup,noise_level,sparsity
ar_sigma0.75_datta_zhang,25,25,ar,100,500,0.75,3.0,datta_zhang,1.0,10,3,1.0,2.361111111111111,cocolasso_max,reweighted_frobenius,2.981091951797377,2.8294083661791016,3.567687279613023,3.4436210401341816,15.277746964013204,1.5803003379842266,0.15168358561827544,0.12406623947884121,13.697446626028977,9.667622411256925,low,datta_zhang (exactly 3-sparse)
ar_sigma0.75_datta_zhang,26,26,ar,100,500,0.75,3.0,datta_zhang,1.0,10,3,1.0,2.361111111111111,cocolasso_max,reweighted_frobenius,4.410604224680814,4.385461364325227,4.793861657476282,4.729621761961618,15.332208348088898,1.7282957460265609,0.02514286035558655,0.06423989551466391,13.603912602062337,8.871287442174419,low,datta_zhang (exactly 3-sparse)
ar_sigma0.75_datta_zhang,27,27,ar,100,500,0.75,3.0,datta_zhang,1.0,10,3,1.0,2.361111111111111,cocolasso_max,reweighted_frobenius,3.905998522671332,3.950903596753113,4.31462895445542,4.380052842767051,15.252916636993175,1.4544736809912138,-0.04490507408178113,-0.06542388831163048,13.798442956001962,10.486897656751285,low,datta_zhang (exactly 3-sparse)
ar_sigma0.75_datta_zhang,28,28,ar,100,500,0.75,3.0,datta_zhang,1.0,10,3,1.0,2.361111111111111,cocolasso_max,reweighted_frobenius,3.339125908953128,3.226886940828372,3.973308270795397,3.9357807296162455,15.319888376048766,2.073794711031951,0.11223896812475598,0.03752754117915158,13.246093665016815,7.387369778962047,low,datta_zhang (exactly 3-sparse)
ar_sigma0.75_datta_zhang,29,29,ar,100,500,0.75,3.0,datta_zhang,1.0,10,3,1.0,2.361111111111111,cocolasso_max,reweighted_frobenius,7.325090219224947,7.28706235240228,10.122674411073294,10.08686267745949,15.317664296017028,1.505706993979402,0.03802786682266657,0.035811733613805075,13.811957302037627,10.173071093688877,low,datta_zhang (exactly 3-sparse)
ar_sigma0.75_datta_zhang,30,30,ar,100,500,0.75,3.0,datta_zhang,1.0,10,3,1.0,2.361111111111111,cocolasso_max,reweighted_frobenius,5.137375060089156,5.185143079063724,6.383332279961885,6.503772163953868,15.391092962934636,1.68378380703507,-0.04776801897456728,-0.12043988399198291,13.707309155899566,9.140777395903577,low,datta_zhang (exactly 3-sparse)
ar_sigma0.75_datta_zhang,31,31,ar,100,500,0.75,3.0,datta_zhang,1.0,10,3,1.0,2.361111111111111,cocolasso_max,reweighted_frobenius,2.8942698807780065,2.902657714797152,3.290124963462204,3.322547727562466,15.316029348992744,1.6149119160254486,-0.008387834019145668,-0.032422764100262125,13.701117432967296,9.484126779303168,low,datta_zhang (exactly 3-sparse)
ar_sigma0.75_datta_zhang,32,32,ar,100,500,0.75,3.0,datta_zhang,1.0,10,3,1.0,2.361111111111111,cocolasso_max,reweighted_frobenius,7.936118454391154,7.928679196903285,9.741912876833386,9.729348833902158,15.311163455946373,1.5679001100361347,0.007439257487869,0.012564042931227704,13.743263345910238,9.765394719943927,low,datta_zhang (exactly 3-sparse)
ar_sigma0.75_datta_zhang,33,33,ar,100,500,0.75,3.0,datta_zhang,1.0,10,3,1.0,2.361111111111111,cocolasso_max,reweighted_frobenius,4.56193657516426,4.378698975157952,5.341138307365144,5.223746078081559,15.348629661020825,1.8555705430335363,0.18323760000630873,0.11739222928358473,13.493059117987288,8.271649772974126,low,datta_zhang (exactly 3-sparse)
ar_sigma0.75_datta_zhang,34,34,ar,100,500,0.75,3.0,datta_zhang,1.0,10,3,1.0,2.361111111111111,cocolasso_max,reweighted_frobenius,4.157543335239779,4.173414257742898,5.548005505581152,5.594752256054637,15.3133397300262,1.693056533986237,-0.015870922503119722,-0.046746750473484866,13.620283196039964,9.044789363277507,low,datta_zhang (exactly 3-sparse)
ar_sigma0.75_datta_zhang,35,35,ar,100,500,0.75,3.0,datta_zhang,1.0,10,3,1.0,2.361111111111111,cocolasso_max,reweighted_frobenius,3.8428370397243543,3.74224312993824,4.888427510591216,4.797975486349265,15.331244923989289,1.8398183949757367,0.10059390978611438,0.09045202424195065,13.491426529013552,8.33302078392986,low,datta_zhang (exactly 3-sparse)
ar_sigma0.75_datta_zhang,36,36,ar,100,500,0.75,3.0,datta_zhang,1.0,10,3,1.0,2.361111111111111,cocolasso_max,reweighted_frobenius,7.838906789031618,7.691159469418965,7.093411809541788,7.0605984909275445,15.343603692017496,1.6707770850043744,0.14774731961265353,0.032813318614243414,13.672826607013121,9.183513366163579,low,datta_zhang (exactly 3-sparse)
ar_sigma0.75_datta_zhang,37,37,ar,100,500,0.75,3.0,datta_zhang,1.0,10,3,1.0,2.361111111111111,cocolasso_max,reweighted_frobenius,4.779962346976921,4.822775899091358,5.4981777332236685,5.484594107467845,15.326541604008526,1.533296847017482,-0.042813552114436604,0.013583625755823725,13.793244756991044,9.99580846580439,low,datta_zhang (exactly 3-sparse)
ar_sigma0.75_datta_zhang,38,38,ar,100,500,0.75,3.0,datta_zhang,1.0,10,3,1.0,2.361111111111111,cocolasso_max,reweighted_frobenius,4.090370041055562,4.281401838345853,5.690579050165189,5.973619830415386,15.366473744041286,1.6266256600501947,-0.1910317972902913,-0.28304078025019663,13.739848083991092,9.44684085677531,low,datta_zhang (exactly 3-sparse)
ar_sigma0.75_datta_zhang,39,39,ar,100,500,0.75,3.0,datta_zhang,1.0,10,3,1.0,2.361111111111111,cocolasso_max,reweighted_frobenius,5.82224687065116,5.954810587389543,6.549362139644384,6.786553752026592,15.325331637985071,1.6378307820414193,-0.13256371673838352,-0.23719161238220732,13.687500855943652,9.357090980353492,low,datta_zhang (exactly 3-sparse)
ar_sigma0.75_datta_zhang,40,40,ar,100,500,0.75,3.0,datta_zhang,1.0,10,3,1.0,2.361111111111111,cocolasso_max,reweighted_frobenius,5.758531535452219,5.793386129078453,6.634839099604886,6.729198606999821,15.358714849920943,1.7972770920023322,-0.034854593626233665,-0.0943595073949357,13.561437757918611,8.545546437032657,low,datta_zhang (exactly 3-sparse)
ar_sigma0.75_datta_zhang,41,41,ar,100,500,0.75,3.0,datta_zhang,1.0,10,3,1.0,2.361111111111111,cocolasso_max,reweighted_frobenius,4.063033249537735,4.165606250993414,5.74764826477456,5.928311699497405,15.354621689999476,1.7586190429865385,-0.10257300145567871,-0.1806634347228444,13.596002647012938,8.731067567609076,low,datta_zhang (exactly 3-sparse)
ar_sigma0.75_datta_zhang,42,42,ar,100,500,0.75,3.0,datta_zhang,1.0,10,3,1.0,2.361111111111111,cocolasso_max,reweighted_frobenius,7.028916353727174,6.97278414249495,8.287306385370886,8.139248815768948,15.494104168959892,1.8937664270051755,0.05613221123222445,0.1480575696019386,13.600337741954716,8.181634201564366,low,datta_zhang (exactly 3-sparse)
ar_sigma0.75_datta_zhang,43,43,ar,100,500,0.75,3.0,datta_zhang,1.0,10,3,1.0,2.361111111111111,cocolasso_max,reweighted_frobenius,6.418068333000322,6.3554674767163535,5.718146535169257,5.699386679272121,15.430628856061958,1.6636932030087337,0.06260085628396883,0.018759855897136468,13.766935653053224,9.274924504203167,low,datta_zhang (exactly 3-sparse)
