setting,seed,rep_index,model,n,p,sigma_a,sigma_e,beta_preset,alpha,k,true_k,lam,snr,algo_a,algo_b,mse_cocolasso_max,mse_reweighted_max,pe_cocolasso_max,pe_reweighted_max,time_cocolasso_max,time_reweighted_max,mse_diff,pe_diff,time_diff,speedup,noise_level,sparsity
ar_sigma0.75_datta_zhang,50,50,ar,100,500,0.75,3.0,datta_zhang,1.0,10,3,1.0,2.361111111111111,cocolasso_max,reweighted_max,5.011009972616377,3.600096639347664,6.324875996075829,4.570808835674118,15.562699228990825,266.4785529531073,1.4109133332687134,1.7540671604017115,-250.91585372411646,0.05840131994310785,low,datta_zhang (exactly 3-sparse)
ar_sigma0.75_datta_zhang,51,51,ar,100,500,0.75,3.0,datta_zhang,1.0,10,3,1.0,2.361111111111111,cocolasso_max,reweighted_max,4.8662453775015,4.103973239351355,5.84784550997481,4.489842946915152,15.335185897070916,314.60463846311904,0.7622721381501458,1.3580025630596584,-299.26945256604813,0.04874430959436936,low,datta_zhang (exactly 3-sparse)
ar_sigma0.75_datta_zhang,52,52,ar,100,500,0.75,3.0,datta_zhang,1.0,10,3,1.0,2.361111111111111,cocolasso_max,reweighted_max,7.665851099009899,6.322540272947747,10.360816134746656,8.509005604190538,15.419538201997057,257.3021724310238,1.3433108260621518,1.8518105305561186,-241.88263422902673,0.05992774198644065,low,datta_zhang (exactly 3-sparse)
ar_sigma0.75_datta_zhang,53,53,ar,100,500,0.75,3.0,datta_zhang,1.0,10,3,1.0,2.361111111111111,cocolasso_max,reweighted_max,2.757339496477064,2.043642460444085,3.411208665847492,2.0210097903610067,15.513494892977178,351.8144054990262,0.7136970360329791,1.3901988754864854,-336.300910606049,0.04409567843298594,low,datta_zhang (exactly 3-sparse)
ar_sigma0.75_datta_zhang,54,54,ar,100,500,0.75,3.0,datta_zhang,1.0,10,3,1.0,2.361111111111111,cocolasso_max,reweighted_max,3.7903449076833935,2.388046766466421,4.838171696679311,3.219481360209146,15.455553660984153,2572.4901401249226,1.4022981412169724,1.6186903364701646,-2557.0345864639385,0.006008012788820102,low,datta_zhang (exactly 3-sparse)
ar_sigma0.75_datta_zhang,55,55,ar,100,500,0.75,3.0,datta_zhang,1.0,10,3,1.0,2.361111111111111,cocolasso_max,reweighted_max,7.084550330287909,6.3812588925153335,6.147979224820726,5.255250363011697,15.47028012399096,306.34984011086635,0.7032914377725756,0.8927288618090286,-290.8795599868754,0.050498737385964845,low,datta_zhang (exactly 3-sparse)
ar_sigma0.75_datta_zhang,56,56,ar,100,500,0.75,3.0,datta_zhang,1.0,10,3,1.0,2.361111111111111,cocolasso_max,reweighted_max,3.656568050216205,2.350698604770709,4.511744569209763,2.832001283146111,15.483000673004426,255.55456771189347,1.305869445445496,1.679743286063652,-240.07156703888904,0.06058588900066,low,datta_zhang (exactly 3-sparse)
ar_sigma0.75_datta_zhang,57,57,ar,100,500,0.75,3.0,datta_zhang,1.0,10,3,1.0,2.361111111111111,cocolasso_max,reweighted_max,7.184912436448263,6.855660373978589,7.602432579837302,6.800265996612393,15.416865000035614,242.87848202511668,0.3292520624696742,0.802166583224909,-227.46161702508107,0.06347563140007322,low,datta_zhang (exactly 3-sparse)
ar_sigma0.75_datta_zhang,58,58,ar,100,500,0.75,3.0,datta_zhang,1.0,10,3,1.0,2.361111111111111,cocolasso_max,reweighted_max,5.478610858561002,4.6029477749098255,6.571308658687737,5.093655588730352,15.415812909952365,274.0176177821122,0.8756630836511761,1.4776530699573858,-258.60180487215985,0.05625847357818576,low,datta_zhang (exactly 3-sparse)
ar_sigma0.75_datta_zhang,59,59,ar,100,500,0.75,3.0,datta_zhang,1.0,10,3,1.0,2.361111111111111,cocolasso_max,reweighted_max,4.277611098058059,3.136560467483747,5.728146806769514,4.246874755947859,15.462519597960636,304.7365496910643,1.1410506305743118,1.481272050821655,-289.27403009310365,0.050740613863470674,low,datta_zhang (exactly 3-sparse)
ar_sigma0.75_datta_zhang,60,60,ar,100,500,0.75,3.0,datta_zhang,1.0,10,3,1.0,2.361111111111111,cocolasso_max,reweighted_max,3.74934481273273,2.6936613512912086,4.350389241166004,2.8576242870264275,15.534384944941849,256.62432609382086,1.0556834614415211,1.4927649541395769,-241.089941148879,0.06053356352219913,low,datta_zhang (exactly 3-sparse)
ar_sigma0.75_datta_zhang,61,61,ar,100,500,0.75,3.0,datta_zhang,1.0,10,3,1.0,2.361111111111111,cocolasso_max,reweighted_max,6.954078211802429,6.729866513313777,6.714718980363399,5.543933362604284,15.478960441076197,257.9366626699921,0.2242116984886522,1.1707856177591145,-242.45770222891588,0.060010702940978204,low,datta_zhang (exactly 3-sparse)
ar_sigma0.75_datta_zhang,62,62,ar,100,500,0.75,3.0,datta_zhang,1.0,10,3,1.0,2.361111111111111,cocolasso_max,reweighted_max,5.044117619129474,4.429117254828784,4.711832001917148,3.836233531842099,15.466262190020643,284.8472518019844,0.6150003643006903,0.8755984700750488,-269.38098961196374,0.05429668740765045,low,datta_zhang (exactly 3-sparse)
