setting,arm,rep_index,seed,model,n,p,sigma_a,sigma_e,beta_preset,alpha,lam_requested,algorithm,norm,k,true_k,snr,mse,pe,topk,nnz,time,lam,algo_rho,algo_gamma_rule,algo_gamma1,algo_growth,algo_f_tol,algo_min_iter,algo_max_iter,algo_weight_clip,algo_admm_rho,algo_admm_max_iter,algo_psd_floor,algo_ridge,algo_refit_thresh,n_reps_in_file,homotopy_iters_last,runtime_sec_file,source_file
ar_sigma1.25_weak_sparse_a2.0,reweighted_refit_max_then_frobenius,67,67,ar,100,500,1.25,3.0,weak_sparse,2.0,1.0,reweighted_refit,max_then_frobenius,10,3,0.8450879387313912,10.508952765936359,8.419675125362229,0.0,10.0,21.72912659100257,1.0,0.5,geometric,0.5,2.0,1e-08,5,100,1e-06,1.0,300,1e-06,1.0,,100,9,2156.7643492060015,ar_sigma1.25_weak_sparse_a2.0/reweighted_refit_max_then_frobenius.json
ar_sigma1.25_weak_sparse_a2.0,reweighted_refit_max_then_frobenius,68,68,ar,100,500,1.25,3.0,weak_sparse,2.0,1.0,reweighted_refit,max_then_frobenius,10,3,0.8450879387313912,8.293830976841225,6.654652242683727,0.0,10.0,21.62488374602981,1.0,0.5,geometric,0.5,2.0,1e-08,5,100,1e-06,1.0,300,1e-06,1.0,,100,9,2156.7643492060015,ar_sigma1.25_weak_sparse_a2.0/reweighted_refit_max_then_frobenius.json
ar_sigma1.25_weak_sparse_a2.0,reweighted_refit_max_then_frobenius,69,69,ar,100,500,1.25,3.0,weak_sparse,2.0,1.0,reweighted_refit,max_then_frobenius,10,3,0.8450879387313912,10.635801649108627,8.762845866357075,0.0,10.0,21.787593871937133,1.0,0.5,geometric,0.5,2.0,1e-08,5,100,1e-06,1.0,300,1e-06,1.0,,100,9,2156.7643492060015,ar_sigma1.25_weak_sparse_a2.0/reweighted_refit_max_then_frobenius.json
ar_sigma1.25_weak_sparse_a2.0,reweighted_refit_max_then_frobenius,70,70,ar,100,500,1.25,3.0,weak_sparse,2.0,1.0,reweighted_refit,max_then_frobenius,10,3,0.8450879387313912,6.042576685144356,4.648018865804518,0.0,10.0,21.684533074963838,1.0,0.5,geometric,0.5,2.0,1e-08,5,100,1e-06,1.0,300,1e-06,1.0,,100,9,2156.7643492060015,ar_sigma1.25_weak_sparse_a2.0/reweighted_refit_max_then_frobenius.json
ar_sigma1.25_weak_sparse_a2.0,reweighted_refit_max_then_frobenius,71,71,ar,100,500,1.25,3.0,weak_sparse,2.0,1.0,reweighted_refit,max_then_frobenius,10,3,0.8450879387313912,8.477957029779875,7.073801692437426,0.0,10.0,21.579950659070164,1.0,0.5,geometric,0.5,2.0,1e-08,5,100,1e-06,1.0,300,1e-06,1.0,,100,9,2156.7643492060015,ar_sigma1.25_weak_sparse_a2.0/reweighted_refit_max_then_frobenius.json
ar_sigma1.25_weak_sparse_a2.0,reweighted_refit_max_then_frobenius,72,72,ar,100,500,1.25,3.0,weak_sparse,2.0,1.0,reweighted_refit,max_then_frobenius,10,3,0.8450879387313912,14.640110368925889,12.408984163207556,0.0,10.0,21.96252772002481,1.0,0.5,geometric,0.5,2.0,1e-08,5,100,1e-06,1.0,300,1e-06,1.0,,100,9,2156.7643492060015,ar_sigma1.25_weak_sparse_a2.0/reweighted_refit_max_then_frobenius.json
ar_sigma1.25_weak_sparse_a2.0,reweighted_refit_max_then_frobenius,73,73,ar,100,500,1.25,3.0,weak_sparse,2.0,1.0,reweighted_refit,max_then_frobenius,10,3,0.8450879387313912,6.7280845982474125,5.1173842741229105,0.0,10.0,21.693491091020405,1.0,0.5,geometric,0.5,2.0,1e-08,5,100,1e-06,1.0,300,1e-06,1.0,,100,9,2156.7643492060015,ar_sigma1.25_weak_sparse_a2.0/reweighted_refit_max_then_frobenius.json
ar_sigma1.25_weak_sparse_a2.0,reweighted_refit_max_then_frobenius,74,74,ar,100,500,1.25,3.0,weak_sparse,2.0,1.0,reweighted_refit,max_then_frobenius,10,3,0.8450879387313912,5.140509478414841,4.113795707669103,0.0,10.0,21.606186700984836,1.0,0.5,geometric,0.5,2.0,1e-08,5,100,1e-06,1.0,300,1e-06,1.0,,100,9,2156.7643492060015,ar_sigma1.25_weak_sparse_a2.0/reweighted_refit_max_then_frobenius.json
ar_sigma1.25_weak_sparse_a2.0,reweighted_refit_max_then_frobenius,75,75,ar,100,500,1.25,3.0,weak_sparse,2.0,1.0,reweighted_refit,max_then_frobenius,10,3,0.8450879387313912,6.826961258216805,5.031326287573601,0.0,10.0,21.160331263090484,1.0,0.5,geometric,0.5,2.0,1e-08,5,100,1e-06,1.0,300,1e-06,1.0,,100,9,2156.7643492060015,ar_sigma1.25_weak_sparse_a2.0/reweighted_refit_max_then_frobenius.json
ar_sigma1.25_weak_sparse_a2.0,reweighted_refit_max_then_frobenius,76,76,ar,100,500,1.25,3.0,weak_sparse,2.0,1.0,reweighted_refit,max_then_frobenius,10,3,0.8450879387313912,3.444798946800493,2.560473720859401,0.0,9.0,21.349389762966894,1.0,0.5,geometric,0.5,2.0,1e-08,5,100,1e-06,1.0,300,1e-06,1.0,,100,9,2156.7643492060015,ar_sigma1.25_weak_sparse_a2.0/reweighted_refit_max_then_frobenius.json
